Time,Susceptible,Infected,Recovered
0.000000,89900.000000,100.000000,0.000000
0.050000,89898.493798,101.053835,0.452367
0.100000,89896.971749,102.118750,0.909501
0.150000,89895.433687,103.194860,1.371453
0.200000,89893.879444,104.282284,1.838272
0.250000,89892.308850,105.381139,2.310010
0.300000,89890.721735,106.491545,2.786719
0.350000,89889.117925,107.613623,3.268452
0.400000,89887.497245,108.747495,3.755260
0.450000,89885.859519,109.893284,4.247197
0.500000,89884.204568,111.051114,4.744317
0.550000,89882.532212,112.221113,5.246675
0.600000,89880.842268,113.403406,5.754326
0.650000,89879.134552,114.598123,6.267325
0.700000,89877.408879,115.805393,6.785728
0.750000,89875.665060,117.025348,7.309592
0.800000,89873.902905,118.258120,7.838975
0.850000,89872.122222,119.503843,8.373935
0.900000,89870.322819,120.762652,8.914529
0.950000,89868.504497,122.034684,9.460818
1.000000,89866.667061,123.320078,10.012862
1.050000,89864.810309,124.618972,10.570719
1.100000,89862.934040,125.931508,11.134453
1.150000,89861.038049,127.257828,11.704124
1.200000,89859.122130,128.598076,12.279794
1.250000,89857.186076,129.952397,12.861527
1.300000,89855.229674,131.320939,13.449387
1.350000,89853.252713,132.703849,14.043437
1.400000,89851.254978,134.101279,14.643743
1.450000,89849.236251,135.513378,15.250371
1.500000,89847.196313,136.940301,15.863386
1.550000,89845.134943,138.382201,16.482856
1.600000,89843.051916,139.839236,17.108849
1.650000,89840.947006,141.311562,17.741432
1.700000,89838.819984,142.799340,18.380676
1.750000,89836.670620,144.302730,19.026650
1.800000,89834.498681,145.821895,19.679424
1.850000,89832.303929,147.357000,20.339071
1.900000,89830.086128,148.908211,21.005661
1.950000,89827.845036,150.475695,21.679269
2.000000,89825.580410,152.059622,22.359967
2.050000,89823.292006,153.660164,23.047830
2.100000,89820.979573,155.277493,23.742934
2.150000,89818.642863,156.911784,24.445353
2.200000,89816.281621,158.563214,25.155166
2.250000,89813.895591,160.231961,25.872448
2.300000,89811.484515,161.918205,26.597279
2.350000,89809.048132,163.622129,27.329738
2.400000,89806.586178,165.343917,28.069905
2.450000,89804.098385,167.083754,28.817861
2.500000,89801.584485,168.841828,29.573687
2.550000,89799.044206,170.618329,30.337465
2.600000,89796.477272,172.413448,31.109279
2.650000,89793.883406,174.227380,31.889214
2.700000,89791.262327,176.060318,32.677354
2.750000,89788.613752,177.912462,33.473786
2.800000,89785.937393,179.784011,34.278596
2.850000,89783.232963,181.675166,35.091871
2.900000,89780.500168,183.586131,35.913702
2.950000,89777.738712,185.517111,36.744177
3.000000,89774.948299,187.468315,37.583386
3.050000,89772.128625,189.439953,38.431422
3.100000,89769.279387,191.432236,39.288377
3.150000,89766.400278,193.445379,40.154343
3.200000,89763.490985,195.479598,41.029417
3.250000,89760.551195,197.535113,41.913692
3.300000,89757.580592,199.612143,42.807265
3.350000,89754.578854,201.710913,43.710234
3.400000,89751.545657,203.831647,44.622696
3.450000,89748.480676,205.974573,45.544752
3.500000,89745.383578,208.139921,46.476501
3.550000,89742.254031,210.327924,47.418045
3.600000,89739.091698,212.538816,48.369487
3.650000,89735.896237,214.772834,49.330929
3.700000,89732.667305,217.030218,50.302477
3.750000,89729.404554,219.311210,51.284236
3.800000,89726.107633,221.616054,52.276314
3.850000,89722.776186,223.944996,53.278817
3.900000,89719.409857,226.298288,54.291855
3.950000,89716.008282,228.676179,55.315539
4.000000,89712.571096,231.078925,56.349978
4.050000,89709.097930,233.506783,57.395287
4.100000,89705.588410,235.960012,58.451577
4.150000,89702.042160,238.438875,59.518965
4.200000,89698.458798,240.943636,60.597566
4.250000,89694.837940,243.474563,61.687497
4.300000,89691.179198,246.031926,62.788877
4.350000,89687.482178,248.615998,63.901824
4.400000,89683.746484,251.227055,65.026461
4.450000,89679.971716,253.865376,66.162909
4.500000,89676.157468,256.531241,67.311291
