Time,Susceptible,Infected
0.000000,239980000.000000,20000.000000
0.040000,239979758.577980,20241.422020
0.080000,239979514.242021,20485.757979
0.120000,239979266.956958,20733.043042
0.160000,239979016.687204,20983.312796
0.200000,239978763.396741,21236.603259
0.240000,239978507.049118,21492.950882
0.280000,239978247.607443,21752.392557
0.320000,239977985.034380,22014.965620
0.360000,239977719.292141,22280.707859
0.400000,239977450.342484,22549.657516
0.440000,239977178.146705,22821.853295
0.480000,239976902.665634,23097.334366
0.520000,239976623.859627,23376.140373
0.560000,239976341.688563,23658.311437
0.600000,239976056.111836,23943.888164
0.640000,239975767.088352,24232.911648
0.680000,239975474.576521,24525.423479
0.720000,239975178.534249,24821.465751
0.760000,239974878.918937,25121.081063
0.800000,239974575.687470,25424.312530
0.840000,239974268.796217,25731.203783
0.880000,239973958.201016,26041.798984
0.920000,239973643.857175,26356.142825
0.960000,239973325.719463,26674.280537
1.000000,239973003.742102,26996.257898
1.040000,239972677.878764,27322.121236
1.080000,239972348.082561,27651.917439
1.120000,239972014.306040,27985.693960
1.160000,239971676.501175,28323.498825
1.200000,239971334.619362,28665.380638
1.240000,239970988.611410,29011.388590
1.280000,239970638.427535,29361.572465
1.320000,239970284.017354,29715.982646
1.360000,239969925.329874,30074.670126
1.400000,239969562.313489,30437.686511
1.440000,239969194.915970,30805.084030
1.480000,239968823.084458,31176.915542
1.520000,239968446.765458,31553.234542
1.560000,239968065.904828,31934.095172
1.600000,239967680.447775,32319.552225
1.640000,239967290.338843,32709.661157
1.680000,239966895.521911,33104.478089
1.720000,239966495.940178,33504.059822
1.760000,239966091.536160,33908.463840
1.800000,239965682.251679,34317.748321
1.840000,239965268.027856,34731.972144
1.880000,239964848.805102,35151.194898
1.920000,239964424.523109,35575.476891
1.960000,239963995.120845,36004.879155
2.000000,239963560.536537,36439.463463
2.040000,239963120.707672,36879.292328
2.080000,239962675.570982,37324.429018
2.120000,239962225.062434,37774.937566
2.160000,239961769.117227,38230.882773
2.200000,239961307.669775,38692.330225
2.240000,239960840.653705,39159.346295
2.280000,239960368.001842,39631.998158
2.320000,239959889.646200,40110.353800
2.360000,239959405.517976,40594.482024
2.400000,239958915.547538,41084.452462
2.440000,239958419.664411,41580.335589
2.480000,239957917.797275,42082.202725
2.520000,239957409.873947,42590.126052
2.560000,239956895.821377,43104.178623
2.600000,239956375.565632,43624.434368
2.640000,239955849.031889,44150.968111
2.680000,239955316.144424,44683.855576
2.720000,239954776.826599,45223.173401
2.760000,239954231.000853,45768.999147
2.800000,239953678.588691,46321.411309
2.840000,239953119.510671,46880.489329
2.880000,239952553.686395,47446.313605
2.920000,239951981.034494,48018.965506
2.960000,239951401.472621,48598.527379
3.000000,239950814.917436,49185.082564
3.040000,239950221.284593,49778.715407
3.080000,239949620.488733,50379.511267
3.120000,239949012.443465,50987.556535
3.160000,239948397.061360,51602.938640
3.200000,239947774.253934,52225.746066
3.240000,239947143.931637,52856.068363
3.280000,239946506.003842,53493.996158
3.320000,239945860.378827,54139.621173
3.360000,239945206.963768,54793.036232
3.400000,239944545.664721,55454.335279
3.440000,239943876.386612,56123.613388
3.480000,239943199.033218,56800.966782
3.520000,239942513.507162,57486.492838
3.560000,239941819.709891,58180.290109
3.600000,239941117.541664,58882.458336
3.640000,239940406.901542,59593.098458
3.680000,239939687.687368,60312.312632
3.720000,239938959.795754,61040.204246
3.760000,239938223.122069,61776.877931
3.800000,239937477.560420,62522.439580
3.840000,239936723.003639,63276.996361
3.880000,239935959.343269,64040.656731
3.920000,239935186.469545,64813.530455
3.960000,239934404.271380,65595.728620
4.000000,239933612.636352,66387.363648
4.040000,239932811.450683,67188.549317
4.080000,239932000.599225,67999.400775
4.120000,239931179.965444,68820.034556
4.160000,239930349.431404,69650.568596
4.200000,239929508.877748,70491.122252
4.240000,239928658.183681,71341.816319
4.280000,239927797.226956,72202.773044
4.320000,239926925.883853,73074.116147
4.360000,239926044.029162,73955.970838
4.400000,239925151.536168,74848.463832
4.440000,239924248.276628,75751.723372
4.480000,239923334.120758,76665.879243
4.520000,239922408.937209,77591.062791
4.560000,239921472.593053,78527.406947
4.600000,239920524.953762,79475.046238
4.640000,239919565.883189,80434.116811
4.680000,239918595.243547,81404.756453
4.720000,239917612.895394,82387.104606
4.760000,239916618.697606,83381.302394
4.800000,239915612.507363,84387.492637
4.840000,239914594.180127,85405.819873
4.880000,239913563.569620,86436.430380
4.920000,239912520.527803,87479.472197
4.960000,239911464.904859,88535.095141
5.000000,239910396.549165,89603.450835
5.040000,239909315.307275,90684.692725
5.080000,239908221.023899,91778.976101
5.120000,239907113.541877,92886.458123
5.160000,239905992.702158,94007.297842
5.200000,239904858.343780,95141.656220
5.240000,239903710.303844,96289.696156
5.280000,239902548.417490,97451.582510
5.320000,239901372.517879,98627.482121
5.360000,239900182.436161,99817.563839
5.400000,239898978.001460,101021.998540
5.440000,239897759.040843,102240.959157
5.480000,239896525.379296,103474.620704
5.520000,239895276.839704,104723.160296
5.560000,239894013.242820,105986.757180
5.600000,239892734.407242,107265.592758
5.640000,239891440.149390,108559.850610
5.680000,239890130.283473,109869.716527
5.720000,239888804.621469,111195.378531
5.760000,239887462.973096,112537.026904
5.800000,239886105.145785,113894.854215
5.840000,239884730.944650,115269.055350
5.880000,239883340.172466,116659.827534
5.920000,239881932.629637,118067.370363
5.960000,239880508.114166,119491.885834
6.000000,239879066.421632,120933.578368
6.040000,239877607.345156,122392.654844
6.080000,239876130.675373,123869.324627
6.120000,239874636.200404,125363.799596
6.160000,239873123.705824,126876.294176
6.200000,239871592.974631,128407.025369
6.240000,239870043.787218,129956.212782
6.280000,239868475.921339,131524.078661
6.320000,239866889.152079,133110.847921
6.360000,239865283.251822,134716.748178
6.400000,239863657.990218,136342.009782
6.440000,239862013.134151,137986.865849
6.480000,239860348.447707,139651.552293
6.520000,239858663.692137,141336.307863
6.560000,239856958.625827,143041.374173
6.600000,239855233.004263,144766.995737
6.640000,239853486.579994,146513.420006
6.680000,239851719.102599,148280.897401
6.720000,239849930.318653,150069.681347
6.760000,239848119.971687,151880.028313
6.800000,239846287.802155,153712.197845
6.840000,239844433.547398,155566.452602
6.880000,239842556.941601,157443.058399
6.920000,239840657.715764,159342.284236
6.960000,239838735.597658,161264.402342
7.000000,239836790.311786,163209.688214
7.040000,239834821.579350,165178.420650
7.080000,239832829.118205,167170.881795
7.120000,239830812.642823,169187.357178
7.160000,239828771.864250,171228.135750
7.200000,239826706.490070,173293.509930
7.240000,239824616.224357,175383.775643
7.280000,239822500.767640,177499.232360
7.320000,239820359.816855,179640.183145
7.360000,239818193.065306,181806.934694
7.400000,239816000.202620,183999.797380
7.440000,239813780.914705,186219.085295
7.480000,239811534.883704,188465.116296
7.520000,239809261.787949,190738.212052
7.560000,239806961.301919,193038.698081
7.600000,239804633.096193,195366.903807
7.640000,239802276.837403,197723.162597
7.680000,239799892.188186,200107.811814
7.720000,239797478.807140,202521.192860
7.760000,239795036.348772,204963.651228
7.800000,239792564.463452,207435.536548
7.840000,239790062.797362,209937.202638
7.880000,239787530.992450,212469.007550
7.920000,239784968.686375,215031.313625
7.960000,239782375.512458,217624.487543
8.000000,239779751.099631,220248.900369
8.040000,239777095.072385,222904.927615
8.080000,239774407.050718,225592.949283
8.120000,239771686.650077,228313.349923
8.160000,239768933.481312,231066.518688
8.200000,239766147.150615,233852.849385
8.240000,239763327.259466,236672.740534
8.280000,239760473.404579,239526.595421
8.320000,239757585.177846,242414.822154
8.360000,239754662.166277,245337.833724
8.400000,239751703.951942,248296.048058
8.440000,239748710.111919,251289.888081
8.480000,239745680.218225,254319.781775
8.520000,239742613.837764,257386.162236
8.560000,239739510.532263,260489.467737
8.600000,239736369.858212,263630.141788
8.640000,239733191.366801,266808.633199
8.680000,239729974.603858,270025.396142
8.720000,239726719.109785,273280.890215
8.760000,239723424.419496,276575.580504
8.800000,239720090.062348,279909.937653
8.840000,239716715.562079,283284.437921
8.880000,239713300.436743,286699.563257
8.920000,239709844.198638,290155.801363
8.960000,239706346.354239,293653.645761
9.000000,239702806.404135,297193.595865
9.040000,239699223.842952,300776.157048
9.080000,239695598.159289,304401.840711
9.120000,239691928.835641,308071.164359
9.160000,239688215.348332,311784.651668
9.200000,239684457.167441,315542.832559
9.240000,239680653.756727,319346.243273
9.280000,239676804.573556,323195.426445
9.320000,239672909.068823,327090.931177
9.360000,239668966.686883,331033.313117
9.400000,239664976.865465,335023.134535
